annotation_id,annotator,created_at,id,lead_time,pos_tag,text,updated_at
1,1,2025-01-25T19:31:24.049898Z,81,1489.129,"[{""start"":0,""end"":15,""text"":""Washing Machine"",""labels"":[""NOUN""]},{""start"":16,""end"":19,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":36,""end"":44,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":54,""end"":58,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":20,""end"":22,""text"":""की"",""labels"":[""PART""]},{""start"":27,""end"":30,""text"":""खुल"",""labels"":[""VERB""]},{""start"":45,""end"":47,""text"":""ने"",""labels"":[""PART""]},{""start"":31,""end"":34,""text"":""गयी"",""labels"":[""VERB""]},{""start"":48,""end"":53,""text"":""बताया"",""labels"":[""VERB""]},{""start"":59,""end"":64,""text"":""क्यों"",""labels"":[""PRON_WH""]},{""start"":65,""end"":68,""text"":""नही"",""labels"":[""PART_NEG""]},{""start"":69,""end"":72,""text"":""हैं"",""labels"":[""VERB""]},{""start"":73,""end"":84,""text"":""Corruption "",""labels"":[""NOUN""]},{""start"":84,""end"":86,""text"":""के"",""labels"":[""ADP""]},{""start"":87,""end"":92,""text"":""खिलाफ"",""labels"":[""ADP""]},{""start"":34,""end"":35,""text"":"","",""labels"":[""X""]},{""start"":92,""end"":93,""text"":""!"",""labels"":[""X""]},{""start"":23,""end"":26,""text"":""पोल"",""labels"":[""NOUN""]}]","Washing Machine BJP की पोल खुल गयी, Kejriwal ने बताया Modi क्यों नही हैं Corruption के खिलाफ!",2025-01-25T19:31:24.049911Z
2,1,2025-01-25T19:41:36.878397Z,82,593.854,"[{""start"":0,""end"":4,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":5,""end"":9,""text"":""Govt"",""labels"":[""PROPN""]},{""start"":10,""end"":16,""text"":""द्वारा"",""labels"":[""ADV""]},{""start"":17,""end"":22,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":23,""end"":25,""text"":""का"",""labels"":[""PART""]},{""start"":26,""end"":32,""text"":""Budget"",""labels"":[""NOUN""]},{""start"":33,""end"":38,""text"":""रोकने"",""labels"":[""VERB""]},{""start"":39,""end"":41,""text"":""पर"",""labels"":[""ADP""]},{""start"":42,""end"":48,""text"":""Vidhan"",""labels"":[""PROPN""]},{""start"":49,""end"":54,""text"":""Sabha"",""labels"":[""PROPN""]},{""start"":55,""end"":58,""text"":""में"",""labels"":[""ADP""]},{""start"":59,""end"":74,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":75,""end"":77,""text"":""की"",""labels"":[""PART""]},{""start"":78,""end"":84,""text"":""Latest"",""labels"":[""ADJ""]},{""start"":85,""end"":91,""text"":""Speech"",""labels"":[""NOUN""]},{""start"":92,""end"":93,""text"":""🔥"",""labels"":[""X""]}]",Modi Govt द्वारा Delhi का Budget रोकने पर Vidhan Sabha में Arvind Kejriwal की Latest Speech 🔥,2025-01-25T19:41:36.878417Z
3,1,2025-01-25T19:43:59.218434Z,83,139.703,"[{""start"":0,""end"":5,""text"":""13000"",""labels"":[""NUM""]},{""start"":6,""end"":10,""text"":""करोड़"",""labels"":[""NOUN""]},{""start"":11,""end"":13,""text"":""के"",""labels"":[""ADV""]},{""start"":14,""end"":23,""text"":""घोटालेबाज़"",""labels"":[""NOUN""]},{""start"":24,""end"":30,""text"":""भगोड़े"",""labels"":[""NOUN""]},{""start"":31,""end"":43,""text"":""Mehul Choksi"",""labels"":[""PROPN""]},{""start"":44,""end"":46,""text"":""को"",""labels"":[""ADP""]},{""start"":47,""end"":51,""text"":""मिल "",""labels"":[""VERB""]},{""start"":51,""end"":54,""text"":""रही"",""labels"":[""VERB""]},{""start"":55,""end"":59,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":60,""end"":64,""text"":""Govt"",""labels"":[""PROPN""]},{""start"":65,""end"":67,""text"":""की"",""labels"":[""PART""]},{""start"":68,""end"":71,""text"":""मदद"",""labels"":[""NOUN""]},{""start"":72,""end"":74,""text"":""का"",""labels"":[""PART""]},{""start"":75,""end"":83,""text"":""पर्दाफाश"",""labels"":[""NOUN""]},{""start"":83,""end"":84,""text"":""!"",""labels"":[""X""]},{""start"":85,""end"":86,""text"":""|"",""labels"":[""X""]},{""start"":87,""end"":100,""text"":""Raghav Chadha"",""labels"":[""PROPN""]}]",13000 करोड़ के घोटालेबाज़ भगोड़े Mehul Choksi को मिल रही Modi Govt की मदद का पर्दाफाश! | Raghav Chadha,2025-01-25T19:43:59.218454Z
4,1,2025-01-25T19:50:20.572692Z,84,376.335,"[{""start"":0,""end"":2,""text"":""CM"",""labels"":[""PROPN""]},{""start"":3,""end"":18,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":19,""end"":22,""text"":""ने "",""labels"":[""PART""]},{""start"":22,""end"":26,""text"":""Mann"",""labels"":[""PROPN""]},{""start"":27,""end"":31,""text"":""Govt"",""labels"":[""NOUN""]},{""start"":32,""end"":34,""text"":""और"",""labels"":[""CONJ""]},{""start"":35,""end"":48,""text"":""Punjab Police"",""labels"":[""PROPN""]},{""start"":49,""end"":51,""text"":""के"",""labels"":[""ADP""]},{""start"":52,""end"":59,""text"":""Special"",""labels"":[""ADJ""]},{""start"":60,""end"":69,""text"":""Operation"",""labels"":[""NOUN""]},{""start"":70,""end"":72,""text"":""पर"",""labels"":[""ADP""]},{""start"":73,""end"":76,""text"":""कही"",""labels"":[""VERB""]},{""start"":77,""end"":80,""text"":""बड़ी"",""labels"":[""ADJ""]},{""start"":81,""end"":84,""text"":""बात"",""labels"":[""NOUN""]},{""start"":84,""end"":85,""text"":""!"",""labels"":[""X""]}]",CM Arvind Kejriwal ने Mann Govt और Punjab Police के Special Operation पर कही बड़ी बात!,2025-01-25T19:50:20.572705Z
5,1,2025-01-25T19:53:13.691748Z,85,171.661,"[{""start"":0,""end"":6,""text"":""Punjab"",""labels"":[""PROPN""]},{""start"":7,""end"":10,""text"":""में"",""labels"":[""ADP""]},{""start"":11,""end"":18,""text"":""Extreme"",""labels"":[""ADJ""]},{""start"":19,""end"":27,""text"":""Elements"",""labels"":[""NOUN""]},{""start"":28,""end"":30,""text"":""पर"",""labels"":[""ADP""]},{""start"":31,""end"":44,""text"":""Punjab Police"",""labels"":[""PROPN""]},{""start"":45,""end"":47,""text"":""की"",""labels"":[""PART""]},{""start"":48,""end"":56,""text"":""कार्रवाई"",""labels"":[""NOUN""]},{""start"":57,""end"":59,""text"":""पर"",""labels"":[""ADP""]},{""start"":60,""end"":64,""text"":""बोले"",""labels"":[""VERB""]},{""start"":65,""end"":67,""text"":""CM"",""labels"":[""PROPN""]},{""start"":68,""end"":81,""text"":""Bhagwant Mann"",""labels"":[""PROPN""]},{""start"":82,""end"":83,""text"":""|"",""labels"":[""X""]},{""start"":84,""end"":98,""text"":""Amritpal Singh"",""labels"":[""PROPN""]}]",Punjab में Extreme Elements पर Punjab Police की कार्रवाई पर बोले CM Bhagwant Mann | Amritpal Singh,2025-01-25T19:53:13.691761Z
6,1,2025-01-25T19:57:05.817069Z,86,163.004,"[{""start"":0,""end"":14,""text"":""Kailash Gahlot"",""labels"":[""PROPN""]},{""start"":15,""end"":17,""text"":""ने"",""labels"":[""PART""]},{""start"":18,""end"":24,""text"":""Budget"",""labels"":[""NOUN""]},{""start"":25,""end"":27,""text"":""ना"",""labels"":[""PART_NEG""]},{""start"":28,""end"":31,""text"":""पेश"",""labels"":[""VERB""]},{""start"":32,""end"":36,""text"":""होने"",""labels"":[""VERB""]},{""start"":37,""end"":41,""text"":""देने"",""labels"":[""VERB""]},{""start"":42,""end"":44,""text"":""पर"",""labels"":[""ADV""]},{""start"":45,""end"":48,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":49,""end"":51,""text"":""और"",""labels"":[""CONJ""]},{""start"":52,""end"":56,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":57,""end"":61,""text"":""Govt"",""labels"":[""PROPN""]},{""start"":62,""end"":64,""text"":""को"",""labels"":[""ADP""]},{""start"":65,""end"":67,""text"":""कर"",""labels"":[""VERB""]},{""start"":68,""end"":72,""text"":""दिया"",""labels"":[""VERB""]},{""start"":73,""end"":79,""text"":""EXPSOE"",""labels"":[""X""]},{""start"":79,""end"":80,""text"":""!"",""labels"":[""X""]}]",Kailash Gahlot ने Budget ना पेश होने देने पर BJP और Modi Govt को कर दिया EXPSOE!,2025-01-25T19:57:05.817088Z
7,1,2025-01-25T20:12:41.596629Z,87,933.036,"[{""start"":0,""end"":4,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":5,""end"":9,""text"":""Govt"",""labels"":[""PROPN""]},{""start"":10,""end"":12,""text"":""ने"",""labels"":[""PART""]},{""start"":13,""end"":18,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":19,""end"":21,""text"":""के"",""labels"":[""ADP""]},{""start"":22,""end"":28,""text"":""Budget"",""labels"":[""NOUN""]},{""start"":29,""end"":31,""text"":""पर"",""labels"":[""ADP""]},{""start"":32,""end"":36,""text"":""लगाई"",""labels"":[""VERB""]},{""start"":37,""end"":40,""text"":""रोक"",""labels"":[""NOUN""]},{""start"":40,""end"":41,""text"":"","",""labels"":[""X""]},{""start"":42,""end"":59,""text"":""Saurabh Bharadwaj"",""labels"":[""PROPN""]},{""start"":60,""end"":63,""text"":""खोल"",""labels"":[""VERB""]},{""start"":64,""end"":66,""text"":""दी"",""labels"":[""VERB""]},{""start"":67,""end"":71,""text"":""सारी"",""labels"":[""ADJ""]},{""start"":72,""end"":75,""text"":""पोल"",""labels"":[""NOUN""]},{""start"":75,""end"":76,""text"":""!"",""labels"":[""X""]}]","Modi Govt ने Delhi के Budget पर लगाई रोक, Saurabh Bharadwaj खोल दी सारी पोल!",2025-01-25T20:12:41.596645Z
8,1,2025-01-25T20:18:15.046092Z,88,331.57,"[{""start"":0,""end"":8,""text"":""Katewara"",""labels"":[""PROPN""]},{""start"":9,""end"":13,""text"":""गांव"",""labels"":[""NOUN""]},{""start"":14,""end"":16,""text"":""के"",""labels"":[""ADP""]},{""start"":17,""end"":22,""text"":""नाराज़"",""labels"":[""ADJ""]},{""start"":23,""end"":28,""text"":""लोगों"",""labels"":[""NOUN""]},{""start"":29,""end"":31,""text"":""को"",""labels"":[""ADP""]},{""start"":32,""end"":36,""text"":""बेटे"",""labels"":[""PART""]},{""start"":37,""end"":39,""text"":""की"",""labels"":[""PART""]},{""start"":40,""end"":43,""text"":""तरह"",""labels"":[""NOUN""]},{""start"":44,""end"":49,""text"":""मनाने"",""labels"":[""VERB""]},{""start"":50,""end"":56,""text"":""पहुंचे"",""labels"":[""VERB""]},{""start"":57,""end"":72,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":73,""end"":74,""text"":""|"",""labels"":[""X""]},{""start"":75,""end"":76,""text"":""#"",""labels"":[""X""]},{""start"":76,""end"":81,""text"":""delhi"",""labels"":[""PROPN""]},{""start"":82,""end"":83,""text"":""#"",""labels"":[""X""]},{""start"":83,""end"":89,""text"":""shorts"",""labels"":[""NOUN""]},{""start"":90,""end"":91,""text"":""#"",""labels"":[""X""]},{""start"":91,""end"":97,""text"":""status"",""labels"":[""NOUN""]}]",Katewara गांव के नाराज़ लोगों को बेटे की तरह मनाने पहुंचे Arvind Kejriwal | #delhi #shorts #status,2025-01-25T20:18:15.046105Z
9,1,2025-01-25T20:42:34.677236Z,89,1456.916,"[{""start"":0,""end"":4,""text"":""LIVE"",""labels"":[""NOUN""]},{""start"":5,""end"":6,""text"":""|"",""labels"":[""X""]},{""start"":7,""end"":20,""text"":""News 18 India"",""labels"":[""PROPN""]},{""start"":21,""end"":28,""text"":""Chaupal"",""labels"":[""PROPN""]},{""start"":29,""end"":31,""text"":""पर"",""labels"":[""ADP""]},{""start"":32,""end"":34,""text"":""CM"",""labels"":[""PROPN""]},{""start"":35,""end"":50,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":51,""end"":53,""text"":""का"",""labels"":[""PART""]},{""start"":54,""end"":63,""text"":""EXCLUSIVE"",""labels"":[""ADJ""]},{""start"":64,""end"":70,""text"":""LATEST"",""labels"":[""ADJ""]},{""start"":71,""end"":80,""text"":""INTERVIEW"",""labels"":[""NOUN""]},{""start"":81,""end"":82,""text"":""|"",""labels"":[""X""]},{""start"":83,""end"":98,""text"":""Aam Aadmi Party"",""labels"":[""PROPN""]}]",LIVE | News 18 India Chaupal पर CM Arvind Kejriwal का EXCLUSIVE LATEST INTERVIEW | Aam Aadmi Party,2025-01-25T20:42:34.677249Z
10,1,2025-01-25T20:44:06.164236Z,90,90.253,"[{""start"":0,""end"":9,""text"":""New Delhi"",""labels"":[""PROPN""]},{""start"":10,""end"":14,""text"":""Govt"",""labels"":[""PROPN""]},{""start"":15,""end"":21,""text"":""School"",""labels"":[""NOUN""]},{""start"":22,""end"":23,""text"":""🔥"",""labels"":[""X""]},{""start"":24,""end"":26,""text"":""CM"",""labels"":[""PROPN""]},{""start"":27,""end"":35,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":36,""end"":38,""text"":""ने"",""labels"":[""PART""]},{""start"":39,""end"":45,""text"":""Rohini"",""labels"":[""PROPN""]},{""start"":46,""end"":49,""text"":""में"",""labels"":[""ADP""]},{""start"":50,""end"":56,""text"":""Launch"",""labels"":[""NOUN""]},{""start"":57,""end"":61,""text"":""किया"",""labels"":[""VERB""]},{""start"":62,""end"":94,""text"":""School of Specialized Excellence"",""labels"":[""PROPN""]},{""start"":95,""end"":96,""text"":""|"",""labels"":[""X""]},{""start"":97,""end"":100,""text"":""AAP"",""labels"":[""PROPN""]}]",New Delhi Govt School 🔥 CM Kejriwal ने Rohini में Launch किया School of Specialized Excellence | AAP,2025-01-25T20:44:06.164247Z
